+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                              ;
+--------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                          ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u0|i_cache_read|a_latency_aware_read_master|the_master_to_user_fifo|auto_generated|dpfifo                          ; 37    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|i_cache_read|a_latency_aware_read_master|the_master_to_user_fifo|auto_generated                                 ; 36    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|i_cache_read|a_latency_aware_read_master                                                                        ; 91    ; 4              ; 0            ; 4              ; 66     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|i_cache_read                                                                                                    ; 176   ; 85             ; 0            ; 85             ; 66     ; 85              ; 85            ; 85              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_write|a_write_master|the_user_to_master_fifo|auto_generated|dpfifo|wr_ptr                               ; 4     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_write|a_write_master|the_user_to_master_fifo|auto_generated|dpfifo|usedw_counter                        ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_write|a_write_master|the_user_to_master_fifo|auto_generated|dpfifo|rd_ptr_msb                           ; 4     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_write|a_write_master|the_user_to_master_fifo|auto_generated|dpfifo|three_comparison                     ; 10    ; 5              ; 0            ; 5              ; 1      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_write|a_write_master|the_user_to_master_fifo|auto_generated|dpfifo|almost_full_comparer                 ; 10    ; 5              ; 0            ; 5              ; 1      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_write|a_write_master|the_user_to_master_fifo|auto_generated|dpfifo|FIFOram                              ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_write|a_write_master|the_user_to_master_fifo|auto_generated|dpfifo                                      ; 37    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_write|a_write_master|the_user_to_master_fifo|auto_generated                                             ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_write|a_write_master                                                                                    ; 90    ; 4              ; 0            ; 4              ; 65     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_write                                                                                                   ; 176   ; 86             ; 0            ; 86             ; 65     ; 86              ; 86            ; 86              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_read|a_latency_aware_read_master|the_master_to_user_fifo|auto_generated|dpfifo|wr_ptr                   ; 4     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_read|a_latency_aware_read_master|the_master_to_user_fifo|auto_generated|dpfifo|usedw_counter            ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_read|a_latency_aware_read_master|the_master_to_user_fifo|auto_generated|dpfifo|rd_ptr_msb               ; 4     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_read|a_latency_aware_read_master|the_master_to_user_fifo|auto_generated|dpfifo|three_comparison         ; 10    ; 5              ; 0            ; 5              ; 1      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_read|a_latency_aware_read_master|the_master_to_user_fifo|auto_generated|dpfifo|almost_full_comparer     ; 10    ; 5              ; 0            ; 5              ; 1      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_read|a_latency_aware_read_master|the_master_to_user_fifo|auto_generated|dpfifo|FIFOram                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_read|a_latency_aware_read_master|the_master_to_user_fifo|auto_generated|dpfifo                          ; 37    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_read|a_latency_aware_read_master|the_master_to_user_fifo|auto_generated                                 ; 36    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_read|a_latency_aware_read_master                                                                        ; 91    ; 4              ; 0            ; 4              ; 66     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|d_cache_read                                                                                                    ; 176   ; 85             ; 0            ; 85             ; 66     ; 85              ; 85            ; 85              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0                                                                                                                 ; 199   ; 3              ; 0            ; 3              ; 96     ; 3               ; 3             ; 3               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; pass_done                                                                                                          ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 18    ; 0              ; 18           ; 0                ; 18                ;
; d_cache_read                                                                                                       ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 88    ; 0              ; 88           ; 0                ; 88                ;
; d_cache_write                                                                                                      ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 88    ; 0              ; 88           ; 0                ; 88                ;
; i_cache_read                                                                                                       ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 88    ; 0              ; 88           ; 0                ; 88                ;
+--------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
